number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_od_type,params_od_wait,params_random_strength,state
0,0.8600947867298578,2025-08-01 09:36:56.762100,2025-08-01 09:36:58.429414,0 days 00:00:01.667314,0.923385947687978,Bayesian,4,475,1.0551779964424746e-05,0.027583475549166746,Iter,26,2.0931628460945333e-07,COMPLETE
1,0.8644549763033176,2025-08-01 09:36:58.429884,2025-08-01 09:37:01.986374,0 days 00:00:03.556490,0.27387593197926163,Bayesian,8,585,1.10795595820296e-06,0.006892694481137703,IncToDec,32,0.79993910451721,COMPLETE
2,,2025-08-01 09:37:01.987108,2025-08-01 09:37:02.882267,0 days 00:00:00.895159,6.923226156693141,Bayesian,9,226,48.152158203957725,0.002490020818620744,Iter,13,6.6193844201488376e-06,FAIL
