iter	Passed	Remaining
408	5730	6949
409	5743	6934
410	5757	6919
411	5770	6905
412	5784	6890
413	5798	6876
414	5814	6865
415	5876	6908
416	5916	6924
417	5951	6933
418	5975	6930
419	5993	6921
420	6010	6910
421	6030	6902
422	6047	6891
423	6062	6878
424	6076	6862
425	6088	6845
426	6105	6834
427	6120	6821
428	6135	6807
429	6150	6794
430	6165	6780
431	6179	6765
432	6198	6756
433	6214	6743
434	6227	6729
435	6240	6713
436	6254	6698
437	6268	6683
438	6282	6668
439	6296	6654
440	6310	6639
441	6323	6623
442	6336	6608
443	6349	6592
444	6362	6577
445	6376	6562
446	6389	6546
447	6403	6531
448	6416	6516
449	6429	6500
450	6443	6486
451	6457	6471
452	6470	6456
453	6484	6441
454	6497	6426
455	6511	6411
456	6525	6396
457	6539	6382
458	6553	6368
459	6568	6354
460	6582	6339
461	6595	6324
462	6610	6310
463	6635	6306
464	6652	6295
465	6666	6279
466	6680	6265
467	6693	6250
468	6708	6236
469	6720	6220
470	6735	6206
471	6750	6192
472	6763	6176
473	6776	6161
474	6790	6146
475	6803	6131
476	6817	6116
477	6830	6102
478	6844	6087
479	6866	6079
480	6879	6064
481	6894	6050
482	6907	6035
483	6921	6020
484	6934	6005
485	6953	5994
486	6966	5979
487	6978	5963
488	6992	5948
489	7005	5933
490	7018	5917
491	7031	5902
492	7044	5886
493	7057	5871
494	7069	5855
495	7082	5839
496	7095	5824
497	7108	5809
498	7121	5794
499	7134	5778
500	7146	5763
501	7159	5747
502	7173	5733
503	7188	5719
504	7201	5704
505	7214	5688
506	7227	5673
507	7241	5658
508	7253	5643
509	7266	5627
510	7280	5613
511	7293	5598
512	7306	5583
513	7319	5568
514	7332	5552
515	7345	5537
516	7358	5522
517	7371	5507
518	7384	5492
519	7397	5476
520	7410	5462
521	7425	5448
522	7438	5433
523	7451	5418
524	7464	5402
525	7478	5388
526	7491	5373
527	7504	5358
528	7518	5343
529	7531	5328
530	7545	5314
531	7558	5299
532	7572	5284
533	7585	5270
534	7598	5255
535	7612	5240
536	7627	5227
537	7642	5213
538	7655	5198
539	7668	5183
540	7681	5168
541	7694	5153
542	7706	5137
543	7720	5123
544	7734	5108
545	7746	5093
546	7758	5078
547	7772	5063
548	7784	5048
549	7798	5033
550	7810	5018
551	7823	5003
552	7836	4988
553	7850	4973
554	7862	4958
555	7876	4944
556	7890	4929
557	7903	4914
558	7916	4900
559	7929	4884
560	7943	4870
561	7956	4855
562	7969	4841
563	7982	4826
564	7994	4811
565	8007	4796
566	8020	4781
567	8034	4767
568	8048	4752
569	8061	4737
570	8074	4722
571	8087	4708
572	8100	4693
573	8113	4678
574	8125	4663
575	8138	4648
576	8152	4634
577	8166	4619
578	8179	4605
579	8191	4590
580	8204	4575
581	8218	4561
582	8231	4546
583	8245	4532
584	8257	4517
585	8270	4502
586	8284	4487
587	8298	4473
588	8310	4458
589	8323	4444
590	8337	4429
591	8350	4415
592	8364	4400
593	8377	4386
594	8390	4371
595	8403	4356
596	8416	4342
597	8429	4327
598	8442	4312
599	8456	4298
600	8469	4284
601	8482	4269
602	8495	4254
603	8508	4240
604	8521	4225
605	8536	4212
606	8549	4197
607	8562	4182
608	8575	4168
609	8588	4153
610	8601	4138
611	8614	4124
612	8628	4109
613	8640	4095
614	8653	4080
615	8665	4065
616	8680	4051
617	8694	4037
618	8707	4023
619	8720	4008
620	8734	3994
621	8747	3980
622	8761	3965
623	8773	3951
624	8786	3936
625	8800	3922
626	8813	3907
627	8826	3893
628	8839	3878
629	8852	3864
630	8866	3850
631	8879	3835
632	8892	3821
633	8905	3806
634	8918	3791
635	8931	3777
636	8944	3763
637	8957	3748
638	8970	3734
639	8983	3719
640	8996	3705
641	9009	3690
642	9022	3676
643	9035	3661
644	9048	3647
645	9061	3633
646	9074	3618
647	9087	3604
648	9101	3589
649	9113	3575
650	9126	3560
651	9138	3546
652	9152	3531
653	9165	3517
654	9177	3502
655	9190	3488
656	9203	3474
657	9216	3459
658	9229	3445
659	9242	3430
660	9255	3416
661	9268	3402
662	9282	3388
663	9295	3373
664	9308	3359
665	9320	3344
666	9333	3330
667	9347	3316
668	9360	3301
669	9372	3287
670	9385	3273
671	9398	3258
672	9412	3244
673	9425	3230
674	9438	3216
675	9450	3201
676	9463	3187
677	9476	3172
678	9490	3158
679	9503	3144
680	9516	3130
681	9530	3116
682	9547	3103
683	9561	3089
684	9575	3075
685	9588	3061
686	9601	3046
687	9613	3032
688	9627	3018
689	9642	3004
690	9656	2990
691	9669	2976
692	9681	2961
693	9695	2947
694	9708	2933
695	9722	2919
696	9734	2904
697	9747	2890
698	9760	2876
699	9773	2862
700	9785	2847
701	9798	2833
702	9811	2819
703	9823	2804
704	9837	2790
705	9850	2776
706	9862	2762
707	9875	2747
708	9888	2733
709	9901	2719
710	9914	2705
711	9927	2690
712	9940	2676
713	9953	2662
714	9966	2648
715	9978	2634
716	9991	2619
717	10005	2605
718	10018	2591
719	10031	2577
720	10044	2563
721	10056	2549
722	10069	2534
723	10083	2520
724	10096	2506
725	10109	2492
726	10117	2477
727	10130	2463
728	10143	2449
729	10156	2434
730	10170	2420
731	10183	2406
732	10197	2392
733	10209	2378
734	10222	2364
735	10235	2350
736	10247	2335
737	10259	2321
738	10271	2307
739	10284	2293
740	10297	2279
741	10309	2264
742	10322	2250
743	10335	2236
744	10349	2222
745	10363	2208
746	10375	2194
747	10388	2180
748	10402	2166
749	10415	2152
750	10427	2138
751	10440	2124
752	10453	2110
753	10466	2096
754	10479	2082
755	10492	2067
756	10504	2053
757	10517	2039
758	10530	2025
759	10542	2011
760	10555	1997
761	10569	1983
762	10582	1969
763	10594	1955
764	10607	1941
765	10620	1927
766	10632	1913
767	10645	1898
768	10657	1884
769	10670	1870
770	10683	1856
771	10695	1842
772	10708	1828
773	10721	1814
774	10734	1800
775	10747	1786
776	10759	1772
777	10773	1758
778	10786	1744
779	10799	1730
780	10812	1716
781	10824	1702
782	10838	1688
783	10852	1674
784	10865	1660
785	10878	1647
786	10891	1633
787	10905	1619
788	10918	1605
789	10935	1591
790	10951	1578
791	10964	1564
792	10979	1550
793	10994	1537
794	11007	1523
795	11020	1509
796	11033	1495
797	11046	1481
798	11061	1467
799	11073	1453
800	11087	1439
801	11100	1425
802	11114	1411
803	11128	1397
804	11142	1384
805	11155	1370
806	11168	1356
807	11182	1342
808	11195	1328
809	11209	1314
810	11223	1300
811	11239	1287
812	11254	1273
813	11267	1259
814	11281	1245
815	11295	1231
816	11308	1218
817	11320	1204
