iter	Logloss
0	0.6920094511
1	0.6909850643
2	0.6897873641
3	0.6886270419
4	0.6874379633
5	0.6863405404
6	0.6853050244
7	0.6840560381
8	0.6829393127
9	0.6820327096
10	0.6807657867
11	0.6796258608
12	0.6785002122
13	0.6774414651
14	0.6764639544
15	0.675327524
16	0.6742665929
17	0.6730697505
18	0.672024319
19	0.6710191684
20	0.6700657652
21	0.6690207499
22	0.6677730563
23	0.666563271
24	0.6654936101
25	0.6645501885
26	0.6635748174
27	0.6625646395
28	0.6614965728
29	0.6604364421
30	0.6593533054
31	0.658282971
32	0.6572596649
33	0.6561991364
34	0.6551328001
35	0.6541528283
36	0.6529573183
37	0.6518444892
38	0.6510181215
39	0.6499745522
40	0.6487708015
41	0.6476329665
42	0.6466039845
43	0.6456791944
44	0.6446198166
45	0.6435951522
46	0.642601388
47	0.6416507842
48	0.6406736566
49	0.6397819286
50	0.6389476203
51	0.6379343481
52	0.6371012161
53	0.6360811775
54	0.635144965
55	0.6341641665
56	0.6331865611
57	0.6324097662
58	0.6314859758
59	0.6306061853
60	0.6295580408
61	0.6287615274
62	0.6277869174
63	0.6268700536
64	0.6258758539
65	0.6249423108
66	0.6238320499
67	0.6230200841
68	0.6220129865
69	0.621022406
70	0.6203529097
71	0.6194445251
72	0.6185766221
73	0.6177804682
74	0.6168402731
75	0.615965122
76	0.6151130205
77	0.6141663677
78	0.6134029718
79	0.6124211004
80	0.6115200513
81	0.6106587017
82	0.6099390526
83	0.608977411
84	0.6082499662
85	0.6074203015
86	0.6064606092
87	0.6055921808
88	0.604891342
89	0.6040785489
90	0.6033309246
91	0.6024297523
92	0.601579577
93	0.6006811914
94	0.5997038453
95	0.598903454
96	0.5980580776
97	0.5972362682
98	0.5965189188
99	0.5958153529
100	0.5949799296
101	0.5942431736
102	0.593332447
103	0.5926265691
104	0.5917736968
105	0.591008778
106	0.5902712976
107	0.5895175665
108	0.5888699891
109	0.5881513889
110	0.5873577373
111	0.5864888648
112	0.5856021998
113	0.5848794564
114	0.5840023485
115	0.5833709371
116	0.5826141853
117	0.5818343274
118	0.5810416808
119	0.5803231274
120	0.5797214903
121	0.5788218221
122	0.5780992688
123	0.5773917984
124	0.5766300919
125	0.5759113705
126	0.5751932366
127	0.5745155765
128	0.573814217
129	0.5730495625
130	0.57223526
131	0.5715357833
132	0.5708226885
133	0.5700231661
134	0.5692371119
135	0.5685025451
136	0.5678155864
137	0.5672040614
138	0.5665774937
139	0.565902615
140	0.5651954673
141	0.5644412007
142	0.5637019734
143	0.562972649
144	0.5624262697
145	0.561759535
146	0.561056999
147	0.5603736548
148	0.5598328945
149	0.559072535
150	0.5582344192
151	0.5575949568
152	0.556956117
153	0.5563362991
154	0.5556640809
155	0.5549457097
156	0.5542121038
157	0.5534934273
158	0.5527913965
159	0.5520750484
160	0.5514210555
161	0.5507854919
162	0.5502371249
163	0.5496168964
164	0.5489759178
165	0.5482488626
166	0.5476696114
167	0.5470857169
168	0.5464844429
169	0.5458463201
170	0.5453225392
171	0.5446976994
172	0.5442052318
173	0.5435077644
174	0.5428850685
175	0.5422380715
176	0.5416503711
177	0.5410505066
178	0.5405100362
179	0.5399505258
180	0.5393314915
181	0.5387506533
182	0.5381282029
183	0.5375683584
184	0.536968768
185	0.5363716672
186	0.5357995404
187	0.5351696649
188	0.5345579534
189	0.5340051055
190	0.5333727304
191	0.5328627923
192	0.5322939041
193	0.5316738531
194	0.5311137531
195	0.5304295095
196	0.5299082534
197	0.5293798059
198	0.528822126
199	0.5282376553
200	0.5277034215
201	0.5271785655
202	0.526585859
203	0.5260603905
204	0.5255394473
205	0.524989075
206	0.5244284672
207	0.5239276711
208	0.5234322724
209	0.5229041058
210	0.5223302481
211	0.5217068923
212	0.5211616141
213	0.5206461928
214	0.5200546165
215	0.5194817916
216	0.518929873
217	0.5184896656
218	0.5179482081
219	0.5174399015
220	0.516834406
221	0.5162939094
222	0.5157642049
223	0.5153057965
224	0.5147955526
225	0.5143437812
226	0.5139539208
227	0.5134328817
228	0.5128997648
229	0.512439286
230	0.5120227152
231	0.5115003524
232	0.5109651924
233	0.5105042372
234	0.5099492576
235	0.5095232139
236	0.5090188937
237	0.5085757945
238	0.5081030544
239	0.5076721359
240	0.5071435198
241	0.506613097
242	0.5061478105
243	0.5056466786
244	0.5052257715
245	0.504793353
246	0.5042540116
247	0.5037967476
248	0.5033232162
249	0.5028450427
250	0.5023577684
251	0.5018694008
252	0.5013635599
253	0.500899259
254	0.5004446773
255	0.5000077388
